(2, 96)
(19, 78)
(13, 83)
(17, 78)
(32, 86)
(26, 66)
(7, 98)
(24, 62)
(22, 67)
(4, 100)
(9, 52)
(2, 65)
(24, 83)
(25, 52)
(25, 51)
(26, 73)
(20, 70)
(12, 82)
(7, 66)
(32, 88)
(25, 54)
(10, 97)
(18, 55)
(29, 91)
(0, 59)
(23, 72)
(21, 71)
(32, 95)
(24, 91)
(13, 86)
(2, 96)
(7, 84)
(15, 78)
(5, 81)
(23, 51)
(22, 91)
(24, 63)
(27, 66)
(26, 85)
(7, 71)
(29, 89)
(31, 76)
(1, 91)
(2, 51)
(22, 85)
(11, 54)
(30, 64)
(25, 75)
(22, 78)
(17, 96)
(17, 70)
(30, 68)
(30, 84)
(1, 87)
(10, 74)
(28, 55)
(12, 92)
(19, 59)
(2, 71)
(22, 80)
(4, 67)
(28, 98)
(1, 60)
(30, 61)
(29, 52)
(32, 76)
(4, 97)
(28, 59)
(32, 59)
(12, 95)
(3, 88)
(6, 66)
(3, 59)
(26, 97)
(15, 60)
(20, 61)
(32, 62)
(17, 96)
(0, 51)
(25, 63)
(26, 78)
(12, 62)
(5, 78)
(25, 70)
(9, 90)
(9, 54)
(22, 68)
(28, 62)
(19, 61)
(11, 82)
(25, 51)
(17, 74)
(29, 86)
(31, 59)
(31, 76)
(14, 53)
(30, 82)
(7, 73)
(18, 50)
(20, 62)
(3, 73)
(7, 70)
(28, 80)
(5, 56)
(25, 94)
(32, 76)
(23, 90)
(27, 92)
(3, 61)
(0, 96)
(28, 82)
(32, 55)
(16, 66)
(1, 84)
(1, 87)
(24, 55)
(25, 69)
(0, 94)
(28, 88)
(10, 73)
(15, 70)
(28, 79)
(17, 95)
(2, 93)
(16, 96)
(30, 78)
(20, 93)
(27, 65)
(22, 69)
(11, 60)
(25, 54)
(29, 62)
(26, 76)
(27, 82)
(11, 92)
(3, 100)
(16, 51)
(23, 89)
(8, 59)
(6, 92)
(4, 78)
(25, 98)
(0, 75)
(25, 81)
(28, 80)
(5, 97)
(27, 72)
(31, 62)
(32, 52)
(29, 75)
(5, 78)
(15, 69)
(26, 98)
(17, 63)
(14, 67)
(9, 81)
(5, 85)
(3, 58)
(25, 55)
(26, 84)
(16, 62)
(28, 56)
(6, 85)
(18, 60)
(12, 59)
(13, 79)
(11, 52)
(30, 55)
(0, 74)
(5, 52)
(27, 77)
(9, 87)
(1, 85)
(4, 92)
(12, 57)
(12, 65)
(30, 61)
(20, 86)
(24, 88)
(22, 59)
(17, 78)
(16, 80)
(27, 85)
(18, 96)
(32, 71)
(30, 70)
(2, 54)
(16, 82)
(15, 70)
(21, 70)
(6, 82)
(1, 56)
(22, 89)
(16, 69)
(14, 71)
(12, 74)
(6, 88)
(23, 97)
(8, 65)
(22, 93)
(14, 59)
